AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Day,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Month,Referee,VCA,VCD,VCH,Year,season
7.0,9.0,0.0,13.0,5.0,1.0,Chelsea,1.4,4.33,7.5,1.35,4.25,8.0,2006-09-23,23,E0,2.0,0.0,A,5.0,19.0,0.0,7.0,4.0,0.0,0.0,D,2.0,Fulham,1.4,4.0,6.5,09,M Halsey,1.4,4.0,8.0,06,0607
0.0,9.0,0.0,5.0,1.0,0.0,Tottenham,5.25,3.75,1.61,6.0,3.45,1.55,2006-09-23,23,E0,0.0,3.0,H,6.0,12.0,0.0,14.0,6.0,0.0,0.0,D,1.0,Liverpool,4.5,3.5,1.65,09,H Webb,5.5,3.5,1.6,06,0607
6.0,15.0,0.0,4.0,0.0,0.0,West Ham,3.1,3.2,2.25,3.15,3.15,2.15,2006-09-23,23,E0,0.0,2.0,H,4.0,12.0,0.0,17.0,8.0,0.0,0.0,D,0.0,Man City,3.0,3.1,2.2,09,C Foy,3.0,3.25,2.25,06,0607
7.0,17.0,0.0,13.0,7.0,3.0,Blackburn,3.5,3.1,2.1,3.55,3.15,2.0,2006-09-23,23,E0,1.0,0.0,A,6.0,14.0,0.0,13.0,7.0,1.0,0.0,A,1.0,Middlesbrough,3.2,3.1,2.1,09,G Poll,3.4,3.25,2.1,06,0607
6.0,10.0,0.0,18.0,8.0,0.0,Man United,1.5,3.75,7.0,1.5,3.6,6.4,2006-09-23,23,E0,1.0,1.0,D,2.0,6.0,0.0,3.0,1.0,0.0,0.0,D,0.0,Reading,1.5,3.8,5.5,09,P Walton,1.53,3.6,6.5,06,0607
3.0,15.0,0.0,10.0,4.0,2.0,Watford,4.33,3.3,1.83,4.25,3.25,1.8,2006-09-23,23,E0,1.0,1.0,D,4.0,15.0,0.0,8.0,4.0,0.0,1.0,H,2.0,Wigan,4.2,3.3,1.75,09,R Styles,4.5,3.4,1.75,06,0607
6.0,18.0,1.0,12.0,5.0,4.0,Everton,3.25,3.2,2.2,3.0,3.2,2.2,2006-09-24,24,E0,1.0,1.0,D,9.0,12.0,1.0,21.0,13.0,1.0,1.0,D,2.0,Newcastle,3.0,3.1,2.2,09,S Bennett,3.1,3.25,2.2,06,0607
2.0,13.0,0.0,4.0,3.0,2.0,Bolton,4.0,3.25,1.9,3.9,3.3,1.85,2006-09-25,25,E0,1.0,0.0,A,11.0,8.0,0.0,13.0,5.0,1.0,0.0,A,2.0,Portsmouth,3.6,3.2,1.9,09,U Rennie,4.0,3.4,1.85,06,0607
10.0,12.0,0.0,13.0,6.0,1.0,Liverpool,2.0,3.2,3.75,1.95,3.15,3.7,2006-09-30,30,E0,0.0,2.0,H,1.0,15.0,0.0,4.0,3.0,0.0,1.0,H,2.0,Bolton,2.0,3.1,3.4,09,P Dowd,2.0,3.25,3.6,06,0607
7.0,8.0,0.0,21.0,12.0,4.0,Arsenal,1.53,3.6,6.5,1.55,3.5,5.8,2006-09-30,30,E0,2.0,1.0,A,4.0,19.0,0.0,10.0,6.0,1.0,1.0,D,4.0,Charlton,1.55,3.5,5.5,09,M Clattenburg,1.53,3.5,6.0,06,0607
5.0,14.0,0.0,9.0,5.0,2.0,Aston Villa,8.5,5.0,1.3,11.0,5.75,1.2,2006-09-30,30,E0,1.0,1.0,D,7.0,13.0,0.0,18.0,10.0,1.0,1.0,D,0.0,Chelsea,9.0,4.6,1.27,09,G Poll,9.0,5.0,1.3,06,0607
4.0,17.0,0.0,11.0,5.0,2.0,Man City,4.33,3.3,1.83,4.2,3.25,1.8,2006-09-30,30,E0,1.0,1.0,D,8.0,14.0,0.0,14.0,10.0,0.0,1.0,H,2.0,Everton,4.2,3.3,1.75,09,A Marriner,4.5,3.3,1.8,06,0607
4.0,12.0,0.0,7.0,2.0,3.0,Middlesbrough,2.6,3.25,2.6,2.5,3.15,2.6,2006-09-30,30,E0,1.0,2.0,H,10.0,8.0,0.0,13.0,7.0,0.0,1.0,H,1.0,Sheffield United,2.6,3.0,2.6,09,P Walton,2.6,3.2,2.6,06,0607
